group,team,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,points
1,Soviet Union,3,2,1,0,8,5,3,5
1,Yugoslavia,3,2,0,1,8,3,5,4
1,Uruguay,3,1,0,2,4,6,-2,2
1,Colombia,3,0,1,2,5,11,-6,1
2,West Germany,3,2,1,0,4,1,3,5
2,Chile,3,2,0,1,5,3,2,4
2,Italy,3,1,1,1,3,2,1,3
2,Switzerland,3,0,0,3,2,8,-6,0
3,Brazil,3,2,1,0,4,1,3,5
3,Czechoslovakia,3,1,1,1,2,3,-1,3
3,Mexico,3,1,0,2,3,4,-1,2
3,Spain,3,1,0,2,2,3,-1,2
4,Hungary,3,2,1,0,8,2,6,5
4,England,3,1,1,1,4,3,1,3
4,Argentina,3,1,1,1,2,3,-1,3
4,Bulgaria,3,0,1,2,1,7,-6,1
