team_id,team_name,group,coach
1,Uruguay,1,Juan Carlos Corazzo
2,Soviet Union,1,Gavril Kachalin
3,Yugoslavia,1,Ljubomir Lovric and Prvoslav Mihajlovic
4,Colombia,1,Adolfo Pedernera
5,Chile,2,Fernando Riera
6,West Germany,2,Sepp Herberger
7,Italy,2,Giovanni Ferrari and Paolo Mazza
8,Switzerland,2,Karl Rappan
9,Brazil,3,Aymore Moreira
10,Czechoslovakia,3,Rudolf Vytlacil
11,Spain,3,Helenio Herrera
12,Mexico,3,Ignacio Trellez
13,Argentina,4,Juan Carlos Lorenzo
14,England,4,Walter Winterbottom
15,Hungary,4,Lajos Baroti
16,Bulgaria,4,Georgi Pachedzhiev
