group,team,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,points
A,Romania,3,2,0,1,5,5,0,6
A,Switzerland,3,1,1,1,5,4,1,4
A,United States,3,1,1,1,3,3,0,4
A,Colombia,3,1,0,2,4,5,-1,3
B,Brazil,3,2,1,0,6,1,5,7
B,Sweden,3,1,2,0,6,4,2,5
B,Russia,3,1,0,2,7,6,1,3
B,Cameroon,3,0,1,2,3,11,-8,1
C,Germany,3,2,1,0,5,3,2,7
C,Spain,3,1,2,0,6,4,2,5
C,South Korea,3,0,2,1,4,5,-1,2
C,Bolivia,3,0,1,2,1,4,-3,1
D,Nigeria,3,2,0,1,6,2,4,6
D,Bulgaria,3,2,0,1,6,3,3,6
D,Argentina,3,2,0,1,6,3,3,6
D,Greece,3,0,0,3,0,10,-10,0
E,Mexico,3,1,1,1,3,3,0,4
E,Republic of Ireland,3,1,1,1,2,2,0,4
E,Italy,3,1,1,1,2,2,0,4
E,Norway,3,1,1,1,1,1,0,4
F,Netherlands,3,2,0,1,4,3,1,6
F,Saudi Arabia,3,2,0,1,4,3,1,6
F,Belgium,3,2,0,1,2,1,1,6
F,Morocco,3,0,0,3,2,5,-3,0
