stadium_id,stadium_name,city,capacity
1,Rose Bowl,Pasadena,94194
2,Stanford Stadium,Stanford,85500
3,Cotton Bowl,Dallas,63500
4,Giants Stadium,East Rutherford,77716
5,Soldier Field,Chicago,63500
6,Citrus Bowl,Orlando,61219
7,Foxboro Stadium,Foxborough,61723
8,Pontiac Silverdome,Pontiac,77557
9,RFK Stadium,Washington DC,56454
