team_id,team_name,group,coach
1,Qatar,A,Félix Sánchez Bas
2,Ecuador,A,Gustavo Alfaro
3,Senegal,A,Aliou Cissé
4,Netherlands,A,Louis van Gaal
5,England,B,Gareth Southgate
6,Iran,B,Carlos Queiroz
7,USA,B,Gregg Berhalter
8,Wales,B,Rob Page
9,Argentina,C,Lionel Scaloni
10,Saudi Arabia,C,Hervé Renard
11,Mexico,C,Gerardo Martino
12,Poland,C,Czesław Michniewicz
13,France,D,Didier Deschamps
14,Australia,D,Graham Arnold
15,Denmark,D,Kasper Hjulmand
16,Tunisia,D,Jalel Kadri
17,Spain,E,Luis Enrique
18,Costa Rica,E,Luis Fernando Suarez
19,Germany,E,Hans-Dieter Flick
20,Japan,E,Hajime Moriyasu
21,Belgium,F,Roberto Martínez
22,Canada,F,John Herdman
23,Morocco,F,Walid Regragui
24.Croatia,F,Zlatko Dalić
25.Brazil,G,Tite
26.Serbia,G,Dragan Stojković
27.Switzeland,G,Murat Yakin
28.Cameroon,G,Rigobert Song
29.Portugal,H,Fernando Santos
30.Ghana,H,Otto Addo
31.Uruguay,H,Diego Alonso
32.South Korea,H,Paulo Bento
