stadium_id,stadium_name,city,capacity
1,Al Bayt Stadium,Al Khor,68895
2,Khalifa International Stadium,Doha,45857
3,Al Thumama Stadium,Doha,44400
4,Lusail Stadium,Lusail,88966
5,Education City Stadium,Al Rayyan,45350
6,Stadium 974,Doha,44950
7,Al Janoub Stadium,Al Wakrah,40000
8,Ahmad bin Ali Stadium,Al Rayyan,44740
