stadium_id,stadium_name,city,capacity
1,Wembley Stadium,London,98600
2,White City Stadium,London,76567
3,Old Trafford,Manchester,58000
4,Villa Park,Birmingham,52000
5,Goodison Park,Liverpool,50151
6,Hillsborough Stadium,Sheffield,42730
7,Roker Park,Sunderland,40310
8,Ayresome Park,Middlesbrough,40000
