nombre_jugador,seleccion_autor,seleccion_beneficiada,minuto,fecha,instancia
Ivan Vutsov,Bulgaria,Portugal,7,16-07-1966,Group Stage
Ivan Davidov,Bulgaria,Hungary,43,20-07-1966,Group Stage
