group,team,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,points
1,England,3,2,1,0,4,0,4,5
1,Uruguay,3,1,2,0,2,1,1,4
1,Mexico,3,0,2,1,1,3,-2,2
1,France,3,0,1,2,2,5,-3,1
2,West Germany,3,2,1,0,7,1,6,5
2,Argentina,3,2,1,0,4,1,5,5
2,Spain,3,1,0,2,4,5,-1,2
2,Switzerland,3,0,0,3,1,9,-8,0
3,Portugal,3,3,0,0,9,2,7,6
3,Hungary,3,2,0,1,7,5,2,4
3,Brazil,3,1,0,2,4,6,-2,2
3,Bulgaria,3,0,0,3,1,8,-7,0
4,Soviet Union,3,3,0,0,6,1,5,6
4,North Korea,3,1,1,1,2,4,-2,3
4,Italy,3,1,0,2,2,2,0,2
4,Chile,3,0,1,2,2,5,-3,1
