nombre_jugador,seleccion_autor,seleccion_beneficiada,minuto,fecha,instancia
Aziz Bouhaddouz,Morocco,Iran,90+5,15-06-2018,Group Stage
Oghenekaro Etebo,Nigeria,Croatia,32,16-06-2018,Group Stage
Thiago Cionek,Poland,Senegal,37,19-06-2018,Group Stage
Ahmed Fathi,Egypt,Russia,47,19-06-2018,Group Stage
Denis Cheryshev,Russia,Uruguay,23,25-06-2018,Group Stage
Edson Álvarez,Mexico,Sweden,74,27-06-2018,Group Stage
Yann Sommer,Switzerland,Costa Rica,90,27-06-2018,Group Stage
Manuel Akanji,Switzerland,Costa Rica,88,27-06-2018,Group Stage
Joseph Yobo,Nigeria,France,90+2,30-06-2018,Round of 16
Sergei Ignashevich,Russia,Spain,12,01-07-2018,Round of 16
Fernandinho,Brazil,Belgium,13,06-07-2018,Quarter-final
Mario Mandzukic,Croatia,France,18,15-07-2018,Final
