team_id,team_name,group,coach
1,Russia,A,Stanislav Cherchesov
2,Saudi Arabia,A,Juan Antonio Pizzi
3,Egypt,A,Héctor Cúper
4,Uruguay,A,Óscar Tabárez
5,Portugal,B,Fernando Santos
6,Spain,B,Fernando Hierro
7,Morocco,B,Hervé Renard
8,Iran,B,Carlos Queiroz
9,France,C,Didier Deschamps
10,Australia,C,Bert van Marwijk
11,Peru,C,Ricardo Gareca
12,Denmark,C,Åge Hareide
13,Argentina,D,Jorge Sampaoli
14,Iceland,D,Heimir Hallgrímsson
15,Croatia,D,Zlatko Dalić
16,Nigeria,D,Gernot Rohr
17,Brazil,E,Tite
18,Switzerland,E,Vladimir Petković
19,Costa Rica,E,Óscar Ramírez
20,Serbia,E,Mladen Krstajić
21,Germany,F,Joachim Löw
22,Mexico,F,Juan Carlos Osorio
23,Sweden,F,Janne Andersson
24,South Korea,F,Shin Tae-yong
25,Belgium,G,Roberto Martínez
26,Panama,G,Hernán Darío Gómez
27,Tunisia,G,Nabil Maâloul
28,England,G,Gareth Southgate
29,Poland,H,Adam Nawałka
30,Senegal,H,Aliou Cissé
31,Colombia,H,José Pékerman
32,Japan,H,Akira Nishino
