group,team,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,points
A,Uruguay,3,3,0,0,5,0,5,9
A,Russia,3,2,0,1,8,4,4,6
A,Saudi Arabia,3,1,0,2,2,7,-5,3
A,Egypt,3,0,0,3,2,6,-4,0
B,Spain,3,1,2,0,6,5,1,5
B,Portugal,3,1,2,0,5,4,1,5
B,Iran,3,1,1,1,2,2,0,4
B,Morocco,3,0,1,2,2,4,-2,1
C,France,3,2,1,0,3,1,2,7
C,Denmark,3,1,2,0,2,1,1,5
C,Peru,3,1,0,2,2,2,0,3
C,Australia,3,0,0,3,2,5,-3,0
D,Croatia,3,3,0,0,7,1,6,9
D,Argentina,3,1,1,1,3,5,-2,4
D,Nigeria,3,1,0,2,3,4,-1,3
D,Iceland,3,0,1,2,2,5,-3,1
E,Brazil,3,2,1,0,5,1,4,7
E,Switzerland,3,1,2,0,5,4,1,5
E,Serbia,3,1,0,2,2,4,-2,3
E,Costa Rica,3,0,1,2,2,5,-3,1
F,Sweden,3,2,0,1,5,2,3,6
F,Mexico,3,2,0,1,3,4,-1,6
F,South Korea,3,1,0,2,3,3,0,3
F,Germany,3,1,0,2,2,4,-2,3
G,Belgium,3,3,0,0,9,2,7,9
G,England,3,2,0,1,8,3,5,6
G,Tunisia,3,1,0,2,5,8,-3,3
G,Panama,3,0,0,3,2,11,-9,0
H,Colombia,3,2,0,1,5,2,3,6
H,Japan,3,1,1,1,4,4,0,4
H,Senegal,3,1,1,1,4,4,0,4
H,Poland,3,1,0,2,2,5,-3,3
