stadium_id,stadium_name,city,capacity
1,Luzhniki Stadium,Moscow,81000
2,Saint Petersburg Stadium,Saint Petersburg,67800
3,Fisht Stadium,Sochi,48000
4,Rostov Arena,Rostov-on-Don,45000
5,Nizhny Novgorod Stadium,Nizhny Novgorod,45000
6,Kazan Arena,Kazan,45000
7,Samara Arena,Samara,45000
8,Volgograd Arena,Volgograd,45000
9,Spartak Stadium,Moscow,45000
10,Mordovia Arena,Saransk,44000
11,Ekaterinburg Arena,Yekaterinburg,35000
12,Kaliningrad Stadium,Kaliningrad,35000
