stadium_id,stadium_name,city,capacity
1,Wankdorf Stadium,Bern,64600
2,Saint Jakob Stadium,Basel,54800
3,Stade Olympique de la Pontaise,Lausanne,50300
4,Charmilles Stadium,Geneva,35997
5,Cornaredo Stadium,Lugano,35800
6,Hardturm Stadium,Zurich,34800
