group,team,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,points
1,Brazil,2,1,1,0,6,1,5,3
1,Yugoslavia,2,1,1,0,2,1,1,3
1,France,2,1,0,1,3,3,0,2
1,Mexico,2,0,0,2,2,8,-6,0
2,Hungary,2,2,0,0,17,3,14,4
2,West Germany,2,1,0,1,7,9,-2,2
2,Turkey,2,1,0,1,8,4,4,2
2,South Korea,2,0,0,2,0,16,-16,0
3,Uruguay,2,2,0,0,9,0,9,4
3,Austria,2,2,0,0,6,0,6,4
3,Czechoslovakia,2,0,0,2,0,7,-7,0
3,Scotland,2,0,0,2,0,8,-8,0
4,England,2,1,1,0,6,4,2,3
4,Switzerland,2,1,0,1,2,3,-1,2
4,Italy,2,1,0,1,5,3,2,2
4,Belgium,2,0,1,1,5,8,-3,1
