nombre_jugador,seleccion_autor,seleccion_beneficiada,minuto,fecha,instancia
Jimmy Dickinson,England,Belgium,94,17-06-1954,Group Stage
Raul Cardenas,Mexico,France,46,19-06-1954,Group Stage
Ivica Horvat,Yugoslavia,West Germany,9,27-06-1954,Quarter Final
Luis Cruz,Uruguay,Austria,59,03-07-1954,Third Place Play-off
