team_id,team_name,group,coach
1,Brazil,1,Zeze Moreira
2,Yugoslavia,1,Aleksandar Tirnanic
3,France,1,Pierre Pibarot
4,Mexico,1,Antonio Lopez Herranz
5,Hungary,2,Gusztav Sebes
6,West Germany,2,Sepp Herberger
7,Turkey,2,Sandro Puppo
8,South Korea,2,Kim Yong-sik
9,Uruguay,3,Juan Lopez
10,Austria,3,Walter Nausch
11,Czechoslovakia,3,Karol Borhy
12,Scotland,3,Andy Beattie
13,Switzerland,4,Karl Rappan
14,England,4,Walter Winterbottom
15,Italy,4,Lajos Czeizler
16,Belgium,4,Doug Livingstone
