nombre_jugador,seleccion_autor,seleccion_beneficiada,minuto,fecha,instancia
László Dajka,Hungary,Soviet Union,73,02-06-1986,Group Stage
Cho Kwang-rae,South Korea,Italy,82,10-06-1986,Group Stage
