group,team,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,points
A,Argentina,3,2,1,0,6,2,4,5
A,Italy,3,1,2,0,5,4,1,4
A,Bulgaria,3,0,2,1,2,4,-2,2
A,South Korea,3,0,1,2,4,7,-3,1
B,Mexico,3,2,1,0,4,2,2,5
B,Paraguay,3,1,2,0,4,3,1,4
B,Belgium,3,1,1,1,5,5,0,3
B,Iraq,3,0,0,3,1,4,-3,0
C,Soviet Union,3,2,1,0,9,1,8,5
C,France,3,2,1,0,5,1,4,5
C,Hungary,3,1,0,2,2,9,-7,2
C,Canada,3,0,0,3,0,5,-5,0
D,Brazil,3,3,0,0,5,0,5,6
D,Spain,3,2,0,1,5,2,3,4
D,Northern Ireland,3,0,1,2,2,6,-4,1
D,Algeria,3,0,1,2,1,5,-4,1
E,Denmark,3,3,0,0,9,1,8,6
E,West Germany,3,1,1,1,3,4,-1,3
E,Uruguay,3,0,2,1,2,7,-5,2
E,Scotland,3,0,1,2,1,3,-2,1
F,Morocco,3,1,2,0,3,1,2,4
F,England,3,1,1,1,3,1,2,3
F,Poland,3,1,1,1,1,3,-2,3
F,Portugal,3,1,0,2,2,4,-2,2
