player_id,dorsal,Player,position,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR
4327,1,Nacerdine Drid,GK,Algeria,2,2,109,0,,0,0
4726,21,Larbi El Hadi,GK,Algeria,2,1,161,0,,0,0
4727,22,Mourad Amara,GK,Algeria,0,0,0,0,,0,0
4728,2,Mahmoud Guendouz ,DF,Algeria,3,3,270,0,,0,0
4729,4,Noureddine Kourichi,DF,Algeria,2,2,180,0,,0,0
4730,5,Abdellah Medjadi Liegeon,DF,Algeria,2,2,180,0,,0,0
4731,15,Abdelhamid Sadmi,DF,Algeria,0,0,0,0,,0,0
4732,16,Faouzi Mansouri,DF,Algeria,3,3,270,0,,1,0
4733,19,Mohamed Chaïb,DF,Algeria,0,0,0,0,,0,0
4734,20,Fodil Megharia,DF,Algeria,2,2,180,0,,0,0
4735,3,Fathi Chebel,MF,Algeria,0,0,0,0,,0,0
4736,6,Mohamed Kaci-Saïd,MF,Algeria,3,3,270,0,,0,0
4737,8,Karim Maroc,MF,Algeria,2,2,180,0,,0,0
4738,10,Lakhdar Belloumi,MF,Algeria,3,2,189,0,,0,0
4739,17,Fawzi Benkhalidi,MF,Algeria,0,0,0,0,,0,0
4740,18,Halim Benmabrouk,MF,Algeria,2,2,180,0,,0,0
4741,7,Salah Assad,FW,Algeria,2,2,157,0,,0,0
4742,9,Djamel Menad,FW,Algeria,2,1,123,0,,0,0
4743,11,Rabah Madjer,FW,Algeria,3,3,212,0,,1,0
4744,12,Tedj Bensaoula,FW,Algeria,1,0,23,0,,0,0
4745,13,Rachid Harkouk,FW,Algeria,2,1,148,0,,0,0
4746,14,Djamel Zidane,FW,Algeria,3,2,138,1,,0,0
3981,15,Luis Islas,GK,Argentina,0,0,0,0,,0,0
4338,18,Nery Pumpido,GK,Argentina,7,7,630,0,,2,0
4747,22,Héctor Zelada,GK,Argentina,0,0,0,0,,0,0
3990,10,Diego Maradona ,MF,Argentina,7,7,630,5,,1,0
4749,6,Daniel Passarella,DF,Argentina,0,0,0,0,,0,0
4750,8,Néstor Clausen,DF,Argentina,1,1,90,0,,0,0
4751,9,José Luis Cuciuffo,DF,Argentina,6,6,540,0,,1,0
4752,13,Oscar Garré,DF,Argentina,4,4,360,0,,2,0
4345,16,Julio Olarticoechea,DF,Argentina,7,3,369,0,,1,0
4348,2,Sergio Batista,MF,Argentina,7,7,531,0,,1,0
4753,3,Ricardo Bochini,MF,Argentina,1,0,6,0,,0,0
4754,4,Claudio Borghi,MF,Argentina,2,2,118,0,,0,0
4759,11,Jorge Valdano,FW,Argentina,7,7,630,4,,1,0
4755,12,Héctor Enrique,MF,Argentina,5,3,332,0,,1,0
4350,14,Ricardo Giusti,MF,Argentina,7,7,630,0,,1,0
4756,20,Carlos Tapia,MF,Argentina,2,0,33,0,,0,0
