group,team,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,points
1,East Germany,3,2,1,0,4,1,3,5
1,West Germany,3,2,0,1,4,1,3,4
1,Chile,3,0,2,1,1,2,-1,2
1,Australia,3,0,1,2,0,5,-5,1
2,Yugoslavia,3,1,2,0,10,1,9,4
2,Brazil,3,1,2,0,3,0,3,4
2,Scotland,3,1,2,0,3,1,2,4
2,Zaire,3,0,0,3,0,14,-14,0
3,Netherlands,3,2,1,0,6,1,5,5
3,Sweden,3,1,2,0,3,0,3,4
3,Bulgaria,3,0,2,1,2,5,-3,2
3,Uruguay,3,0,1,2,1,6,-5,1
4,Poland,3,3,0,0,12,3,9,6
4,Argentina,3,1,1,1,7,5,2,3
4,Italy,3,1,1,1,5,4,1,3
4,Haiti,3,0,0,3,2,14,-12,0
A,Netherlands,3,3,0,0,8,0,8,6
A,Brazil,3,2,0,1,3,3,0,4
A,East Germany,3,0,1,2,1,4,-3,1
A,Argentina,3,0,1,2,2,7,-5,1
B,West Germany,3,3,0,0,7,2,5,6
B,Poland,3,2,0,1,3,2,1,4
B,Sweden,3,1,0,2,4,6,-2,2
B,Yugoslavia,3,0,0,3,2,6,-4,0
