player_id;dorsal;Player;position;Squad;MP;Starts;Min;Gls;Ast;CrdY;CrdR
5922;22;Adolfo Nef;GK;Chile;0;0;0;0;;0;0
5923;2;Rolando García;DF;Chile;3;3;270;0;;1;0
5924;3;Alberto Quintano;DF;Chile;3;3;270;0;;0;0
5925;4;Antonio Arias;DF;Chile;3;3;270;0;;0;0
5266;5;Elías Figueroa;DF;Chile;3;3;270;0;;0;0
5926;6;Juan Rodríguez;DF;Chile;1;1;82;0;;0;0
5927;12;Juan Machuca;DF;Chile;0;0;0;0;;0;0
5928;13;Rafael González;DF;Chile;0;0;0;0;;0;0
5269;15;Mario Galindo;DF;Chile;0;0;0;0;;0;0
5929;8;Francisco Valdés ;MF;Chile;3;3;176;0;;0;0
5930;10;Carlos Reinoso;MF;Chile;3;3;270;0;;1;0
5931;14;Alfonso Lara;MF;Chile;1;0;8;0;;0;0
5932;16;Guillermo Páez;MF;Chile;3;3;270;0;;1;0
5933;18;Jorge Socías;MF;Chile;1;1;66;0;;0;0
5934;19;Rogelio Farías;MF;Chile;2;0;58;0;;0;0
5279;7;Carlos Caszely;FW;Chile;2;2;156;0;;1;1
5935;9;Sergio Ahumada;FW;Chile;3;3;270;1;;0;0
5936;11;Leonardo Véliz;FW;Chile;3;2;176;0;;1;0
5937;17;Guillermo Yávar;FW;Chile;2;0;64;0;;0;0
5938;20;Osvaldo Castro;FW;Chile;0;0;0;0;;0;0
5939;1;Jürgen Croy;GK;East Germany;6;6;540;0;;1;0
5940;21;Wolfgang Blochwitz;GK;East Germany;0;0;0;0;;0;0
5941;22;Werner Friese;GK;East Germany;0;0;0;0;;0;0
5942;2;Lothar Kurbjuweit;DF;East Germany;4;4;360;0;;0;0
5943;3;Bernd Bransch ;DF;East Germany;6;6;540;0;;0;0
5944;4;Konrad Weise;DF;East Germany;6;6;540;0;;0;0
5945;5;Joachim Fritsche;DF;East Germany;0;0;0;0;;0;0
5946;12;Siegmar Wätzlich;DF;East Germany;4;4;360;0;;1;0
5947;18;Gerd Kische;DF;East Germany;6;6;540;0;;2;0
5948;6;Rüdiger Schnuphase;MF;East Germany;2;2;180;0;;0;0
5949;7;Jürgen Pommerenke;MF;East Germany;3;3;270;0;;0;0
5950;13;Reinhard Lauck;MF;East Germany;3;3;216;0;;0;0
5951;14;Jürgen Sparwasser;MF;East Germany;6;6;540;1;;2;0
5952;16;Harald Irmscher;MF;East Germany;4;3;289;0;;0;0
5953;17;Erich Hamann;MF;East Germany;2;1;71;0;;1;0
5954;19;Wolfgang Seguin;MF;East Germany;1;1;28;0;;0;0
5955;8;Wolfram Löwe;FW;East Germany;4;3;198;0;;0;0
5956;9;Peter Ducke;FW;East Germany;3;0;110;0;;0;0
5957;10;Hans-Jürgen Kreische;FW;East Germany;3;1;136;0;;1;0
5958;11;Joachim Streich;FW;East Germany;4;4;349;2;;1;0
5959;15;Eberhard Vogel;FW;East Germany;3;2;187;0;;1;0
5960;20;Martin Hoffmann;FW;East Germany;6;5;486;1;;0;0
5961;1;Henri Françillon;GK;Haiti;3;3;270;0;;0;0
5962;2;Wilner Piquant;GK;Haiti;0;0;0;0;;0;0
5963;22;Gérard Joseph;GK;Haiti;0;0;0;0;;0;0
