stadium_id,stadium_name,city,capacity
1,Olympiastadion,West Berlin,86000
2,Olympiastadion,Munich,77573
3,Neckarstadion,Stuttgart,72200
4,Parkstadion,Gelsenkirchen,72000
5,Rheinstadion,Dusseldorf,70100
6,Waldstadion,Frankfurt,62200
7,Volksparkstadion,Hamburg,61300
8,Niedersachsenstadion,Hannover,60400
9,Westfalenstadion,Dortmund,53600
