nombre_jugador,seleccion_autor,seleccion_beneficiada,minuto,fecha,instancia
Colin Curran,Australia,East Germany,58,14-06-1974,First Group Stage
Roberto Perfumo,Argentina,Italy,35,19-06-1974,First Group Stage
Ruud Krol,Netherlands,Bulgaria,78,23-06-1974,First Group Stage
