team_id,team_name,group,coach
1,West Germany,1,Sepp Herberger
2,Czechoslovakia,1,Karel Kolsky
3,Northern Ireland,1,Peter Doherty
4,Argentina,1,Guillermo Stabile
5,France,2,Albert Batteux
6,Yugoslavia,2,Aleksandar Tirnanic
7,Scotland,2,Dawson Walker and Matt Busby
8,Paraguay,2,Aurelio Gonzalez
9,Sweden,3,George Raynor
10,Hungary,3,Lajos Baroti
11,Wales,3,Jimmy Murphy
12,Mexico,3,Antonio Lopez Herranz
13,Austria,4,Josef Argauer
14,Soviet Union,4,Gavril Kachalin
15,England,4,Walter Winterbottom
16,Brazil,4,Vicente Feola
