group,team,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,points
1,Soviet Union,3,2,1,0,6,1,5,5
1,Mexico,3,2,1,0,5,0,5,5
1,Belgium,3,1,0,2,4,5,-1,2
1,El Salvador,3,0,0,3,0,9,-9,0
2,Italy,3,1,2,0,1,0,1,4
2,Uruguay,3,1,1,1,2,1,1,3
2,Sweden,3,1,1,1,2,2,0,3
2,Israel,3,0,2,1,1,3,-2,2
3,Brazil,3,3,0,0,8,3,5,6
3,England,3,2,0,1,2,1,1,4
3,Romania,3,1,0,2,4,5,-1,2
3,Czechoslovakia,3,0,0,3,2,7,-5,0
4,West Germany,3,3,0,0,10,4,6,6
4,Peru,3,2,0,1,7,5,2,4
4,Bulgaria,3,0,1,2,5,9,-4,1
4,Morocco,3,0,1,2,2,6,-4,1
