stadium_id,stadium_name,city,capacity
1,Estadio Azteca,Ciudad de Mexico,107247
2,Estadio Jalisco,Guadalajara,71100
3,Estadio Cuauhtemoc,Puebla,35563
4,Luis Dosal,Toluca,26900
5,Estadio Leon,Leon,23609
