player_id,dorsal,Player,position,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR
2401,1,Joao Ricardo,GK,Angola,3,3,270,0,,1,0
2402,12,Lamá,GK,Angola,0,0,0,0,,0,0
2403,22,Mario Hipólito,GK,Angola,0,0,0,0,,0,0
2404,2,Marco Airosa,DF,Angola,0,0,0,0,,0,0
2405,3,Jamba,DF,Angola,3,3,270,0,,1,0
2406,4,Lebo Lebo,DF,Angola,0,0,0,0,,0,0
2407,5,Kali,DF,Angola,3,3,270,0,,0,0
2408,15,Rui Marques,DF,Angola,2,0,36,0,,0,0
2409,20,Locó,DF,Angola,3,3,270,0,,2,0
2410,21,Delgado,DF,Angola,3,3,270,0,,1,0
2411,23,Marco Abreu,DF,Angola,0,0,0,0,,0,0
2412,6,Miloy,MF,Angola,3,1,109,0,,0,0
2413,7,Paulo Figueiredo,MF,Angola,3,3,223,0,,0,0
2414,8,Andre Macanga,MF,Angola,2,2,168,0,,3,1
2415,13,Edson Nobre,MF,Angola,1,0,21,0,,0,0
2416,14,Mendonca,MF,Angola,3,3,270,0,,1,0
2417,17,Ze Kalanga,MF,Angola,3,3,241,0,,2,0
2418,9,Mantorras,FW,Angola,2,0,54,0,,0,0
2419,10,Akwá ,FW,Angola,3,3,199,0,,0,0
2420,11,Mateus,FW,Angola,3,3,179,0,,0,0
2421,16,Flávio,FW,Angola,1,0,40,1,,0,0
2422,18,Love,FW,Angola,1,0,68,0,,0,0
2423,19,Titi Buengo,FW,Angola,0,0,0,0,,0,0
2424,1,Roberto Abbondanzieri,GK,Argentina,5,5,460,0,,0,0
2425,12,Leo Franco,GK,Argentina,1,0,50,0,,0,0
2426,23,Oscar Ustari,GK,Argentina,0,0,0,0,,0,0
2427,2,Roberto Ayala,DF,Argentina,5,5,510,1,,0,0
2428,3,Juan Pablo Sorín ,DF,Argentina,4,4,420,0,,2,0
2429,4,Fabricio Coloccini,DF,Argentina,2,1,187,0,,0,0
2430,6,Gabriel Heinze,DF,Argentina,4,4,420,0,,2,0
2431,13,Lionel Scaloni,DF,Argentina,1,1,120,0,,0,0
2432,15,Gabriel Milito,DF,Argentina,1,1,90,0,,0,0
2433,17,Leandro Cufré,DF,Argentina,1,1,90,0,,0,0
1899,21,Nicolás Burdisso,DF,Argentina,3,3,203,0,,0,0
2434,5,Esteban Cambiasso,MF,Argentina,5,3,378,1,,1,0
837,8,Javier Mascherano,MF,Argentina,5,5,510,0,,2,0
2435,10,Juan Román Riquelme,MF,Argentina,5,5,449,0,,0,0
2436,16,Pablo Aimar,MF,Argentina,3,0,57,0,,0,0
1375,18,Maxi Rodríguez,MF,Argentina,5,5,494,2,,1,0
2437,22,Lucho González,MF,Argentina,3,2,152,0,,1,0
2438,7,Javier Saviola,FW,Argentina,3,3,215,1,,1,0
2439,9,Hernán Crespo,FW,Argentina,4,4,305,3,,1,0
1907,11,Carlos Tevez,FW,Argentina,4,2,288,1,,0,0
1378,14,Rodrigo Palacio,FW,Argentina,1,0,27,0,,0,0
20,19,Lionel Messi,FW,Argentina,3,1,122,1,,0,0
2440,20,Julio Cruz,FW,Argentina,2,0,63,0,,1,0
