team_id,team_name,group,coach
1,Germany,A,Jürgen Klinsmann
2,Costa Rica,A,Alexandre Guimarães
3,Poland,A,Paweł Janas
4,Ecuador,A,Luis Fernando Suárez
5,England,B,Sven-Göran Eriksson
6,Paraguay,B,Aníbal Ruiz
7,Trinidad and Tobago,B,Leo Beenhakker
8,Sweden,B,Lars Lagerbäck
9,Argentina,C,José Pekerman
10,Ivory Coast,C,Henri Michel
11,Serbia and Montenegro,C,Ilija Petković
12,Netherlands,C,Marco van Basten
13,Mexico,D,Ricardo La Volpe
14,Iran,D,Branko Ivanković
15,Angola,D,Luís Oliveira Gonçalves
16,Portugal,D,Luiz Felipe Scolari
17,Italy,E,Marcello Lippi
18,Ghana,E,Ratomir Dujković
19,United States,E,Bruce Arena
20,Czech Republic,E,Karel Brückner
21,Brazil,F,Carlos Alberto Parreira
22,Croatia,F,Zlatko Kranjčar
23,Australia,F,Guus Hiddink
24,Japan,F,Zico
25,France,G,Raymond Domenech
26,Switzerland,G,Köbi Kuhn
27,South Korea,G,Dick Advocaat
28,Togo,G,Otto Pfister
29,Spain,H,Luis Aragonés
30,Ukraine,H,Oleg Blokhin
31,Tunisia,H,Roger Lemerre
32,Saudi Arabia,H,Marcos Paquetá
