group,team,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,points
A,Germany,3,3,0,0,8,2,6,9
A,Ecuador,3,2,0,1,4,3,1,6
A,Poland,3,1,0,2,2,4,-2,3
A,Costa Rica,3,0,0,3,3,8,-5,0
B,England,3,2,1,0,5,2,3,7
B,Sweden,3,1,2,0,3,2,1,5
B,Paraguay,3,1,0,2,2,2,0,3
B,Trinidad and Tobago,3,0,1,2,0,4,-4,1
C,Argentina,3,2,1,0,8,1,7,7
C,Netherlands,3,2,1,0,3,1,2,7
C,Ivory Coast,3,1,0,2,5,6,-1,3
C,Serbia and Montenegro,3,0,0,3,2,10,-8,0
D,Portugal,3,3,0,0,5,1,4,9
D,Mexico,3,1,1,1,4,3,1,4
D,Angola,3,0,2,1,1,2,-1,2
D,Iran,3,0,1,2,2,6,-4,1
E,Italy,3,2,1,0,5,1,4,7
E,Ghana,3,2,0,1,4,3,1,6
E,Czech Republic,3,1,0,2,3,4,-1,3
E,United States,3,0,1,2,2,6,-4,1
F,Brazil,3,3,0,0,7,1,6,9
F,Australia,3,1,1,1,5,5,0,4
F,Croatia,3,0,2,1,2,3,-1,2
F,Japan,3,0,1,2,2,7,-5,1
G,Switzerland,3,2,1,0,4,0,4,7
G,France,3,1,2,0,3,1,2,5
G,South Korea,3,1,1,1,3,4,-1,4
G,Togo,3,0,0,3,1,6,-5,0
H,Spain,3,3,0,0,8,1,7,9
H,Ukraine,3,2,0,1,4,4,0,6
H,Tunisia,3,1,0,2,3,6,-3,3
H,Saudi Arabia,3,0,0,3,2,6,-4,0
