team_id,team_name,group,coach
1,Mexico,A,Javier Aguirre
2,South Africa,A,Hugo Broos
3,South Korea,A,Hong Myung-bo
4,Czech Republic,A,Miroslav Koubek
5,Canada,B,Jesse Marsch
6,Bosnia and Herzegovina,B,Sergej Barbarez
7,Qatar,B,Julen Lopetegui
8,Switzerland,B,Murat Yakin
9,Brazil,C,Carlo Ancelotti
10,Morocco,C,Mohamed Ouahbi
11,Haiti,C,Sebastien Migne
12,Scotland,C,Steve Clarke
13,United States,D,Mauricio Pochettino
14,Paraguay,D,Gustavo Alfaro
15,Australia,D,Tony Popovic
16,Turkey,D,Vincenzo Montella
17,Germany,E,Julian Nagelsmann
18,Curacao,E,Dick Advocaat
19,Ivory Coast,E,Emerse Fae
20,Ecuador,E,Sebastian Beccacece
21,Netherlands,F,Ronald Koeman
22,Japan,F,Hajime Moriyasu
23,Sweden,F,Graham Potter
24,Tunisia,F,Sabri Lamouchi and Herve Renard
25,Belgium,G,Rudi Garcia
26,Egypt,G,Hossam Hassan
27,Iran,G,Amir Ghalenoei
28,New Zealand,G,Darren Bazeley
29,Spain,H,Luis de la Fuente
30,Cape Verde,H,Bubista
31,Saudi Arabia,H,Georgios Donis
32,Uruguay,H,Marcelo Bielsa
33,France,I,Didier Deschamps
34,Senegal,I,Pape Thiaw
35,Iraq,I,Graham Arnold
36,Norway,I,Stale Solbakken
37,Argentina,J,Lionel Scaloni
38,Algeria,J,Vladimir Petkovic
39,Austria,J,Ralf Rangnick
40,Jordan,J,Jamal Sellami
41,Portugal,K,Roberto Martinez
42,DR Congo,K,Sebastien Desabre
43,Uzbekistan,K,Fabio Cannavaro
44,Colombia,K,Nestor Lorenzo
45,England,L,Thomas Tuchel
46,Croatia,L,Zlatko Dalic
47,Ghana,L,Carlos Queiroz
48,Panama,L,Thomas Christiansen
