team_id,team_name,group,coach
1,France,A,Roger Lemerre
2,Senegal,A,Bruno Metsu
3,Uruguay,A,Víctor Púa
4,Denmark,A,Morten Olsen
5,Spain,B,José Antonio Camacho
6,Slovenia,B,Srečko Katanec
7,Paraguay,B,Cesare Maldini
8,South Africa,B,Jomo Sono
9,Brazil,C,Luiz Felipe Scolari
10,Turkey,C,Şenol Güneş
11,Costa Rica,C,Alexandre Guimarães
12,China PR,C,Bora Milutinović
13,Germany,D,Rudi Völler
14,Republic of Ireland,D,Mick McCarthy
15,Cameroon,D,Winfried Schäfer
16,Saudi Arabia,D,Nasser Al-Johar
17,Italy,E,Giovanni Trapattoni
18,Croatia,E,Mirko Jozić
19,Mexico,E,Javier Aguirre
20,Ecuador,E,Hernán Darío Gómez
21,Portugal,F,António Oliveira
22,United States,F,Bruce Arena
23,Poland,F,Jerzy Engel
24,South Korea,F,Guus Hiddink
25,Argentina,G,Marcelo Bielsa
26,England,G,Sven-Göran Eriksson
27,Sweden,G,Lars Lagerbäck & Tommy Söderberg
28,Nigeria,G,Festus Onigbinde
29,Japan,H,Philippe Troussier
30,Belgium,H,Robert Waseige
31,Russia,H,Oleg Romantsev
32,Tunisia,H,Ammar Souayah
