group,team,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,points
A,Brazil,3,2,0,1,6,3,3,6
A,Norway,3,1,2,0,5,4,1,5
A,Morocco,3,1,1,1,5,5,0,4
A,Scotland,3,0,1,2,2,6,-4,1
B,Italy,3,2,1,0,7,3,4,7
B,Chile,3,0,3,0,4,4,0,3
B,Austria,3,0,2,1,3,4,-1,2
B,Cameroon,3,0,2,1,2,5,-3,2
C,France,3,3,0,0,9,1,8,9
C,Denmark,3,1,1,1,3,3,0,4
C,South Africa,3,0,2,1,3,6,-3,2
C,Saudi Arabia,3,0,1,2,2,7,-5,1
D,Nigeria,3,2,0,1,5,5,0,6
D,Paraguay,3,1,2,0,3,1,2,5
D,Spain,3,1,1,1,8,4,4,4
D,Bulgaria,3,0,1,2,1,7,-6,1
E,Netherlands,3,1,2,0,7,2,5,5
E,Mexico,3,1,2,0,7,5,2,5
E,Belgium,3,0,3,0,3,3,0,3
E,South Korea,3,0,1,2,2,9,-7,1
F,Germany,3,2,1,0,6,2,4,7
F,FR Yugoslavia,3,2,1,0,4,2,2,7
F,Iran,3,1,0,2,2,4,-2,3
F,United States,3,0,0,3,1,5,-4,0
G,Romania,3,2,1,0,4,2,2,7
G,England,3,2,0,1,5,2,3,6
G,Colombia,3,1,0,2,1,3,-2,3
G,Tunisia,3,0,1,2,1,4,-3,1
H,Argentina,3,3,0,0,7,0,7,9
H,Croatia,3,2,0,1,4,2,2,6
H,Jamaica,3,1,0,2,3,9,-6,3
H,Japan,3,0,0,3,1,4,-3,0
