stadium_id,stadium_name,city,capacity
1,Stade de France,Saint-Denis,80000
2,Stade Vélodrome,Marseille,60031
3,Parc des Princes,Paris,48527
4,Stade de Gerland,Lyon,40000
5,Stade Félix-Bollaert,Lens,41809
6,Stade de la Beaujoire,Nantes,35724
7,Stade Geoffroy-Guichard,Saint-Étienne,35616
8,Stadium de Toulouse,Toulouse,35572
9,Stade de la Mosson,Montpellier,35000
10,Stade Chaban-Delmas,Bordeaux,34894
