nombre_jugador,seleccion_autor,seleccion_beneficiada,minuto,fecha,instancia
Youssef Chippo,Morocco,Norway,45,10-06-1998,Group Stage
Tom Boyd,Scotland,Brazil,74,10-06-1998,Group Stage
Pierre Issa,South Africa,France,77,12-06-1998,Group Stage
Andoni Zubizarreta,Spain,Nigeria,73,13-06-1998,Group Stage
Siniša Mihajlović,Yugoslavia,Germany,72,21-06-1998,Group Stage
Georgi Bachev,Bulgaria,Spain,88,24-06-1998,Group Stage
