player_id,dorsal,Player,position,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR
5177,3,Héctor Baley,GK,Argentina,0,0,0,0,,0,0
5178,5,Ubaldo Fillol,GK,Argentina,7,7,660,0,,0,0
5568,13,Ricardo La Volpe,GK,Argentina,0,0,0,0,,0,0
5179,7,Luis Galván,DF,Argentina,7,7,660,0,,0,0
5569,11,Daniel Killer,DF,Argentina,0,0,0,0,,0,0
5180,15,Jorge Olguin,DF,Argentina,7,7,660,0,,0,0
5570,18,Rubén Pagnanini,DF,Argentina,0,0,0,0,,0,0
4749,19,Daniel Passarella ,DF,Argentina,7,7,660,1,,1,0
5181,20,Alberto Tarantini,DF,Argentina,7,7,660,1,,0,0
5571,1,Norberto Alonso,MF,Argentina,3,0,54,0,,0,0
5184,2,Osvaldo Ardiles,MF,Argentina,6,6,469,0,,1,0
5186,6,Américo Gallego,MF,Argentina,7,7,654,0,,1,0
5572,8,Rubén Galván,MF,Argentina,0,0,0,0,,0,0
5573,12,Omar Larrosa,MF,Argentina,2,1,146,0,,1,0
5574,17,Miguel Oviedo,MF,Argentina,1,0,6,0,,0,0
5188,21,José Daniel Valencia,MF,Argentina,4,4,272,0,,0,0
5575,22,Ricardo Villa,MF,Argentina,2,0,90,0,,1,0
5189,4,Daniel Bertoni,FW,Argentina,6,5,477,2,,0,0
5576,9,René Houseman,FW,Argentina,6,3,331,1,,0,0
5191,10,Mario Kempes,FW,Argentina,7,7,660,6,,0,0
5577,14,Leopoldo Luque,FW,Argentina,5,5,480,4,,0,0
5578,16,Oscar Ortiz,FW,Argentina,6,4,321,0,,0,0
5193,1,Friedrich Koncilia,GK,Austria,6,6,540,0,,0,0
5579,21,Erwin Fuchsbichler,GK,Austria,0,0,0,0,,0,0
5580,22,Hubert Baumgartner,GK,Austria,0,0,0,0,,0,0
5581,2,Robert Sara ,DF,Austria,6,6,540,0,,1,0
5195,3,Erich Obermayer,DF,Austria,6,6,540,1,,0,0
5582,4,Gerhard Breitenberger,DF,Austria,4,4,360,0,,0,0
5197,5,Bruno Pezzey,DF,Austria,6,6,540,0,,0,0
5583,14,Heinrich Strasser,DF,Austria,2,2,180,0,,0,0
5201,15,Heribert Weber,DF,Austria,3,0,74,0,,0,0
5584,16,Peter Persidis,DF,Austria,0,0,0,0,,0,0
5202,6,Roland Hattenberger,MF,Austria,0,0,0,0,,0,0
5585,7,Josef Hickersberger,MF,Austria,6,6,486,0,,0,0
5203,8,Herbert Prohaska,MF,Austria,6,6,540,0,,1,0
5205,11,Kurt Jara,MF,Austria,4,4,360,0,,0,0
5586,12,Eduard Krieger,MF,Austria,5,5,423,0,,0,0
5587,13,Günther Happich,MF,Austria,1,0,7,0,,0,0
5206,20,Ernst Baumeister,MF,Austria,0,0,0,0,,0,0
5209,9,Hans Krankl,FW,Austria,6,6,540,4,,0,0
5588,10,Wilhelm Kreuz,FW,Austria,6,6,540,0,,0,0
5589,17,Franz Oberacher,FW,Austria,1,0,20,0,,0,0
5208,18,Walter Schachner,FW,Austria,3,3,211,1,,0,0
5590,19,Hans Pirkner,FW,Austria,2,0,39,0,,0,0
5591,1,Leão,GK,Brazil,7,7,630,0,,0,0
4773,12,Carlos,GK,Brazil,0,0,0,0,,0,0
5226,22,Waldir Peres,GK,Brazil,0,0,0,0,,0,0
5592,2,Toninho,DF,Brazil,6,6,525,0,,0,0
5229,3,Oscar Bernardi,DF,Brazil,7,7,630,0,,1,0
5593,4,Amaral,DF,Brazil,7,7,630,0,,0,0
4778,6,Edinho,DF,Brazil,3,2,237,0,,1,0
5594,13,Nelinho,DF,Brazil,4,3,274,2,,1,0
5595,14,Abel,DF,Brazil,0,0,0,0,,0,0
5596,15,Polozzi,DF,Brazil,0,0,0,0,,0,0
5597,16,Rodrigues Neto,DF,Brazil,4,4,303,0,,0,0
5234,5,Toninho Cerezo,MF,Brazil,6,6,474,0,,1,0
4783,8,Zico,MF,Brazil,6,3,230,1,,1,0
5238,11,Dirceu,MF,Brazil,7,6,545,3,,0,0
5236,17,Batista,MF,Brazil,7,7,630,0,,1,0
5598,21,Chicão,MF,Brazil,3,1,125,0,,1,0
5599,7,Zé Sérgio,FW,Brazil,0,0,0,0,,0,0
5600,9,Reinaldo,FW,Brazil,3,2,225,1,,0,0
5601,10,Rivellino ,FW,Brazil,3,1,131,0,,0,0
5602,18,Gil,FW,Brazil,7,6,470,0,,0,0
5603,19,Jorge Mendonça,FW,Brazil,6,4,421,0,,1,0
5241,20,Roberto Dinamite,FW,Brazil,5,5,450,3,,1,0
5339,1,Dominique Baratelli,GK,France,1,0,36,0,,0,0
5604,21,Jean-Paul Bertrand-Demanes,GK,France,2,2,144,0,,0,0
5605,22,Dominique Dropsy,GK,France,1,1,90,0,,0,0
4869,2,Patrick Battiston,DF,France,1,1,90,0,,0,0
4871,3,Maxime Bossis,DF,France,2,2,180,0,,0,0
5606,4,Gérard Janvion,DF,France,2,2,180,0,,0,0
5607,5,François Bracci,DF,France,1,1,90,0,,0,0
5343,6,Christian Lopez,DF,France,2,2,180,1,,0,0
5608,7,Patrice Rio,DF,France,1,1,90,0,,0,0
5609,8,Marius Trésor ,DF,France,3,3,270,0,,0,0
5610,9,Dominique Bathenay,MF,France,2,2,180,0,,0,0
5611,10,Jean-Marc Guillou,MF,France,1,1,90,0,,0,0
5612,11,Henri Michel,MF,France,2,2,180,0,,1,0
5613,12,Claude Papi,MF,France,1,1,45,0,,0,0
5614,13,Jean Petit,MF,France,1,1,90,0,,0,0
4875,15,Michel Platini,MF,France,3,2,225,1,,1,0
4883,18,Dominique Rocheteau,MF,France,2,2,164,1,,0,0
5350,19,Didier Six,MF,France,3,2,181,0,,1,0
5615,14,Marc Berdoll,FW,France,2,1,107,1,,0,0
5616,16,Christian Dalger,FW,France,1,1,90,0,,0,0
