stadium_id,stadium_name,city,capacity
1,Jose Amalfitani,Buenos Aires,49318
2,Monumental,Buenos Aires,76609
3,Ciudad de Mendoza,Mendoza,47542
4,Olimpico de Cordoba,Cordoba,46986
5,Jose Maria Minella,Mar del Plata,42563
6,Gigante de Arroyito,Rosario,41465
