team_id;team_name;group;coach
1;Argentina;A;Cesar Luis Menotti
2;Italy;A;Enzo Bearzot
3;Hungary;A;Lajos Baroti
4;France;A;Michel Hidalgo
5;West Germany;B;Helmut Schon
6;Mexico;B;Jose Antonio Roca
7;Poland;B;Jacek Gmoch
8;Tunisia;B;Abdelmajid Chetali
9;Brazil;C;Claudio Coutinho
10;Sweden;C;Georg Ericson
11;Spain;C;Ladislao Kubala
12;Austria;C;Helmut Senekowitsch
13;Netherlands;D;Ernst Happel
14;Peru;D;Marcos Calderon
15;Scotland;D;Ally MacLeod
16;Iran;D;Heshmat Mohajerani
