nombre_jugador,seleccion_autor,seleccion_beneficiada,minuto,fecha,instancia
Park Chu-Young,South Korea,Argentina,17,12-06-2010,Group Stage
Daniel Agger,Denmark,Netherlands,46,14-06-2010,Group Stage
