stadium_id,stadium_name,city,capacity
1,Soccer City,Johannesburg,84490
2,Ellis Park Stadium,Johannesburg,55586
3,Loftus Versfeld Stadium,Pretoria,51762
4,Royal Bafokeng Stadium,Rustenburg,44930
5,Peter Mokaba Stadium,Polokwane,41933
6,Free State Stadium,Bloemfontein,40511
7,Moses Mabhida Stadium,Durban,62260
8,Green Point Stadium,Cape Town,64100
9,Nelson Mandela Bay Stadium,Port Elizabeth,46082
