player_id,dorsal,Player,position,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR
1880,1,GK,Lounes Gaouaoui,Algeria,0,0,0,0,0,0,0
1881,16,GK,Faouzi Chaouchi,Algeria,1,1,90,0,0,0,0
1344,23,GK,Raïs M'Bolhi,Algeria,2,2,180,0,0,0,0
1882,2,DF,Madjid Bougherra,Algeria,3,3,270,0,0,0,0
1883,3,DF,Nadir Belhadj,Algeria,3,3,270,0,0,0,0
1884,4,DF,Antar Yahia ,Algeria,3,3,269,0,0,2,1
1348,5,DF,Rafik Halliche,Algeria,3,3,270,0,0,0,0
1885,12,DF,Habib Bellaïd,Algeria,0,0,0,0,0,0,0
1886,14,DF,Abdelkader Laïfaoui,Algeria,0,0,0,0,0,0,0
1350,18,DF,Carl Medjani,Algeria,0,0,0,0,0,0,0
1349,20,DF,Djamel Mesbah,Algeria,1,0,3,0,0,0,0
1887,6,MF,Yazid Mansouri,Algeria,0,0,0,0,0,0,0
1888,7,MF,Ryad Boudebouz,Algeria,1,1,73,0,0,0,0
1354,8,MF,Mehdi Lacen,Algeria,3,3,270,0,0,2,0
1889,15,MF,Karim Ziani,Algeria,3,3,238,0,0,0,0
1890,17,MF,Adlene Guedioura,Algeria,3,0,41,0,0,0,0
1353,19,MF,Hassan Yebda,Algeria,3,3,267,0,0,2,0
1891,21,MF,Foued Kadir,Algeria,3,3,261,0,0,0,0
1892,22,MF,Djamel Abdoun,Algeria,1,0,17,0,0,0,0
1893,9,FW,Abdelkader Ghezzal,Algeria,2,0,41,0,0,2,1
1894,10,FW,Rafik Saïfi,Algeria,2,0,16,0,0,0,0
1895,11,FW,Rafik Djebbour,Algeria,2,2,154,0,0,0,0
1896,13,FW,Karim Matmour,Algeria,3,3,254,0,0,0,0
1897,1,GK,Diego Pozo,Argentina,0,0,0,0,0,0,0
1367,21,GK,Mariano Andujar,Argentina,0,0,0,0,0,0,0
1365,22,GK,Sergio Romero,Argentina,5,5,450,0,0,0,0
