player_id,player_name,team,goals,assists,min.tot
1,James Rodríguez,Colombia,6,2,399
2,Thomas Muller,Germany,5,3,681
3,Lionel Messi ,Argentina,4,1,692
4,Neymar,Brazil,4,1,454
5,Robin van Persie ,Netherlands,4,0,544
6,Enner Valencia,Ecuador,3,0,270
7,Karim Benzema,France,3,2,450
8,André Schürrle,Germany,3,1,249
9,Arjen Robben,Netherlands,3,1,690
10,Xherdan Shaqiri,Switzerland,3,0,386
11,Abdelmoumene Djabou,Algeria,2,1,169
12,Islam Slimani,Algeria,2,1,324
13,David Luiz,Brazil,2,1,660
14,Oscar,Brazil,2,2,638
15,Alexis Sánchez,Chile,2,1,390
16,Jackson Martínez,Colombia,2,0,195
17,Bryan Ruiz ,Costa Rica,2,0,492
18,Ivan Periši?,Croatia,2,1,257
19,Mario Mandžuki?,Croatia,2,0,180
20,Mats Hummels,Germany,2,0,507
21,Toni Kroos,Germany,2,3,689
22,Mario Gotze,Germany,2,0,259
23,Miroslav Klose,Germany,2,0,279
24,André Ayew,Ghana,2,0,261
25,Asamoah Gyan ,Ghana,2,1,270
26,Gervinho,Ivory Coast,2,1,262
27,Wilfried Bony,Ivory Coast,2,0,166
28,Memphis Depay,Netherlands,2,1,178
29,Ahmed Musa,Nigeria,2,0,334
30,Clint Dempsey ,USA,2,0,386
31,Luis Suárez,Uruguay,2,0,177
32,Rafik Halliche,Algeria,1,0,366
33,Sofiane Feghouli,Algeria,1,2,390
34,Yacine Brahimi,Algeria,1,1,189
35,Marcos Rojo,Argentina,1,0,614
36,Ángel Di María,Argentina,1,0,426
37,Gonzalo Higuaín,Argentina,1,1,568
38,Mile Jedinak ,Australia,1,0,270
39,Jan Vertonghen,Belgium,1,0,450
40,Romelu Lukaku,Belgium,1,0,175
41,Dries Mertens,Belgium,1,0,269
42,Divock Origi,Belgium,1,0,246
43,Avdija Vršajevi?,Bosnia and Herzegovina,1,0,90
44,Miralem Pjani?,Bosnia and Herzegovina,1,0,270
45,Vedad Ibiševi?,Bosnia and Herzegovina,1,0,146
46,Edin Džeko,Bosnia and Herzegovina,1,0,263
47,Thiago Silva ,Brazil,1,1,570
48,Fernandinho,Brazil,1,0,296
49,Fred,Brazil,1,0,471
50,Joël Matip,Cameroon,1,0,180
51,Jorge Valdivia,Chile,1,0,94
52,Jean Beausejour,Chile,1,0,68
53,Charles Aránguiz,Chile,1,1,363
54,Eduardo Vargas,Chile,1,1,307
55,Pablo Armero,Colombia,1,0,414
56,Juan Cuadrado,Colombia,1,4,384
57,Juan Fernando Quintero,Colombia,1,0,94
58,Teófilo Gutiérrez,Colombia,1,1,301
59,Óscar Duarte,Costa Rica,1,0,335
60,Joel Campbell,Costa Rica,1,1,412
61,Marco Ureña,Costa Rica,1,0,106
62,Ivica Oli?,Croatia,1,0,226
63,Daniel Sturridge,England,1,0,259
64,Wayne Rooney,England,1,1,195
65,Mathieu Valbuena,France,1,1,331
66,Blaise Matuidi,France,1,0,426
67,Moussa Sissoko,France,1,0,215
68,Paul Pogba,France,1,1,354
69,Olivier Giroud,France,1,1,166
70,Sami Khedira,Germany,1,1,374
71,Mesut Özil,Germany,1,1,651
72,Sokratis Papastathopoulos,Greece,1,0,390
73,Andreas Samaris,Greece,1,0,136
74,Georgios Samaras,Greece,1,1,390
75,Carlo Costly,Honduras,1,0,219
76,Reza Ghoochannejhad,Iran,1,0,270
77,Claudio Marchisio,Italy,1,0,216
78,Mario Balotelli,Italy,1,0,207
79,Keisuke Honda,Japan,1,1,270
80,Shinji Okazaki,Japan,1,0,248
81,Rafael Márquez ,Mexico,1,1,360
82,Giovani dos Santos,Mexico,1,0,294
83,Andrés Guardado,Mexico,1,0,331
84,Javier Hernández,Mexico,1,0,79
85,Oribe Peralta,Mexico,1,1,298
86,Stefan de Vrij,Netherlands,1,0,676
87,Daley Blind,Netherlands,1,3,669
88,Wesley Sneijder,Netherlands,1,1,584
89,Leroy Fer,Netherlands,1,0,16
90,Georginio Wijnaldum,Netherlands,1,0,552
91,Klaas-Jan Huntelaar,Netherlands,1,1,55
92,Peter Odemwingie,Nigeria,1,0,281
93,Nani,Portugal,1,0,270
94,Silvestre Varela,Portugal,1,0,51
95,Cristiano Ronaldo ,Portugal,1,1,270
96,Aleksandr Kokorin,Russia,1,0,270
97,Aleksandr Kerzhakov,Russia,1,0,101
98,Koo Ja-cheol ,South Korea,1,0,270
99,Son Heung-min,South Korea,1,0,245
100,Lee Keun-ho,South Korea,1,1,107
101,Juan Mata,Spain,1,0,35
102,Xabi Alonso,Spain,1,0,189
103,David Villa,Spain,1,0,55
104,Fernando Torres,Spain,1,0,145
105,Granit Xhaka,Switzerland,1,0,321
106,Blerim Džemaili,Switzerland,1,0,57
107,Haris Seferovic,Switzerland,1,0,141
108,Admir Mehmedi,Switzerland,1,0,337
109,John Brooks,USA,1,0,45
110,Jermaine Jones,USA,1,1,390
111,Julian Green,USA,1,0,16
112,Diego Godín ,Uruguay,1,0,360
113,Edinson Cavani,Uruguay,1,1,360
