player_id,dorsal,Player,position,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR
938,1,Cédric Si Mohamed,GK,Algeria,0,0,0,0,0,0,0
1343,16,Mohamed Lamine Zemmamouche,GK,Algeria,0,0,0,0,0,0,0
1344,23,Raïs M'Bolhi,GK,Algeria,4,4,390,0,0,0,0
1345,2,Madjid Bougherra ,DF,Algeria,3,2,202,0,0,1,0
1346,3,Faouzi Ghoulam,DF,Algeria,2,2,210,0,0,0,0
1347,4,Essaïd Belkalem,DF,Algeria,3,2,212,0,0,0,0
1348,5,Rafik Halliche,DF,Algeria,4,4,366,1,0,1,0
1349,6,Djamel Mesbah,DF,Algeria,2,2,180,0,0,1,0
1350,12,Carl Medjani,DF,Algeria,3,3,263,0,1,0,0
1351,17,Liassine Cadamuro-Bentaïba,DF,Algeria,0,0,0,0,0,0,0
1352,20,Aïssa Mandi,DF,Algeria,3,3,300,0,0,0,0
1353,7,Hassan Yebda,MF,Algeria,1,0,20,0,0,0,0
1354,8,Mehdi Lacen,MF,Algeria,3,1,154,0,0,0,0
1355,10,Sofiane Feghouli,MF,Algeria,4,4,390,1,2,0,0
1356,11,Yacine Brahimi,MF,Algeria,3,2,189,1,1,0,0
1357,14,Nabil Bentaleb,MF,Algeria,3,3,270,0,0,1,0
1358,18,Abdelmoumene Djabou,MF,Algeria,3,2,169,2,1,0,0
1359,19,Saphir Taïder,MF,Algeria,2,2,167,0,0,0,0
1360,21,Riyad Mahrez,MF,Algeria,1,1,70,0,0,0,0
1361,22,Mehdi Mostefa,MF,Algeria,2,2,210,0,0,0,0
1362,9,Nabil Ghilas,FW,Algeria,3,0,39,0,0,1,0
1363,13,Islam Slimani,FW,Algeria,4,3,324,2,1,0,0
1364,15,Hillal Soudani,FW,Algeria,3,2,165,0,0,0,0
1365,1,Sergio Romero,GK,Argentina,7,7,720,0,0,0,0
1366,12,Agustín Orión,GK,Argentina,0,0,0,0,0,0,0
1367,21,Mariano Andújar,GK,Argentina,0,0,0,0,0,0,0
1368,2,Ezequiel Garay,DF,Argentina,7,7,720,0,0,1,0
1369,3,Hugo Campagnaro,DF,Argentina,1,1,45,0,0,0,0
1370,4,Pablo Zabaleta,DF,Argentina,7,7,720,0,0,0,0
1371,15,Martín Demichelis,DF,Argentina,3,3,330,0,0,1,0
838,16,Marcos Rojo,DF,Argentina,6,6,614,1,0,2,0
1372,17,Federico Fernández,DF,Argentina,4,4,390,0,0,0,0
1373,23,José María Basanta,DF,Argentina,2,1,106,0,0,0,0
1374,5,Fernando Gago,MF,Argentina,6,3,375,0,0,0,0
839,6,Lucas Biglia,MF,Argentina,7,3,351,0,0,1,0
25,7,Ángel Di María,MF,Argentina,5,5,426,1,0,1,0
842,8,Enzo Pérez,MF,Argentina,3,2,218,0,0,0,0
1375,11,Maxi Rodríguez,MF,Argentina,2,1,66,0,0,0,0
1376,13,Augusto Fernández,MF,Argentina,0,0,0,0,0,0,0
837,14,Javier Mascherano,MF,Argentina,7,7,720,0,0,1,0
1377,19,Ricky Álvarez,MF,Argentina,1,0,28,0,0,0,0
845,9,Gonzalo Higuaín,FW,Argentina,7,6,568,1,1,0,0
20,10,Lionel Messi ,FW,Argentina,7,7,692,4,1,0,0
1378,18,Rodrigo Palacio,FW,Argentina,5,0,164,0,0,0,0
847,20,Sergio Agüero,FW,Argentina,5,3,313,0,0,1,0
1379,22,Ezequiel Lavezzi,FW,Argentina,6,4,354,0,1,0,0
27,1,Mat Ryan,GK,Australia,3,3,270,0,0,0,0
1380,12,Mitchell Langerak,GK,Australia,0,0,0,0,0,0,0
1381,18,Eugene Galekovic,GK,Australia,0,0,0,0,0,0,0
1382,2,Ivan Franjic,DF,Australia,1,1,48,0,1,0,0
1383,3,Jason Davidson,DF,Australia,3,3,270,0,0,0,0
1384,6,Matthew Spiranovic,DF,Australia,3,3,270,0,0,1,0
32,8,Bailey Wright,DF,Australia,0,0,0,0,0,0,0
1385,19,Ryan McGowan,DF,Australia,3,2,222,0,1,0,0
1386,22,Alex Wilkinson,DF,Australia,3,3,270,0,0,0,0
850,5,Mark Milligan,MF,Australia,1,1,90,0,0,1,0
1387,10,Ben Halloran,MF,Australia,3,0,90,0,0,0,0
1388,11,Tommy Oar,MF,Australia,3,3,203,0,0,0,0
1389,13,Oliver Bozanic,MF,Australia,2,1,111,0,0,0,0
1390,14,James Troisi,MF,Australia,2,0,43,0,0,0,0
856,15,Mile Jedinak ,MF,Australia,3,3,270,1,0,2,0
1391,16,James Holland,MF,Australia,0,0,0,0,0,0,0
1392,17,Matt McKay,MF,Australia,2,2,180,0,0,0,0
1393,20,Dario Vidoši?,MF,Australia,0,0,0,0,0,0,0
855,21,Massimo Luongo,MF,Australia,0,0,0,0,0,0,0
1394,23,Mark Bresciano,MF,Australia,0,0,0,0,0,0,0
858,4,Tim Cahill,FW,Australia,0,0,0,0,0,0,0
45,7,Mathew Leckie,FW,Australia,0,0,0,0,0,0,0
1395,9,Adam Taggart,FW,Australia,0,0,0,0,0,0,0
53,1,Thibaut Courtois,GK,Belgium,0,0,0,0,0,0,0
54,12,Simon Mignolet,GK,Belgium,0,0,0,0,0,0,0
1396,13,Sammy Bossut,GK,Belgium,0,0,0,0,0,0,0
56,2,Toby Alderweireld,DF,Belgium,0,0,0,0,0,0,0
864,3,Thomas Vermaelen,DF,Belgium,1,1,30,0,0,0,0
865,4,Vincent Kompany ,DF,Belgium,4,4,390,0,0,1,0
59,5,Jan Vertonghen,DF,Belgium,5,4,450,1,0,1,0
1397,15,Daniel Van Buyten,DF,Belgium,5,5,480,0,0,0,0
1398,18,Nicolas Lombaerts,DF,Belgium,1,1,90,0,0,0,0
1399,21,Anthony Vanden Borre,DF,Belgium,1,1,90,0,0,0,0
1400,23,Laurent Ciman,DF,Belgium,0,0,0,0,0,0,0
69,6,Axel Witsel,MF,Belgium,0,0,0,0,0,0,0
64,7,Kevin De Bruyne,MF,Belgium,0,0,0,0,0,0,0
867,8,Marouane Fellaini,MF,Belgium,0,0,0,0,0,0,0
73,10,Eden Hazard,MF,Belgium,0,0,0,0,0,0,0
1401,11,Kevin Mirallas,MF,Belgium,0,0,0,0,0,0,0
1402,16,Steven Defour,MF,Belgium,0,0,0,0,0,0,0
868,19,Mousa Dembélé,MF,Belgium,0,0,0,0,0,0,0
870,20,Adnan Januzaj,MF,Belgium,0,0,0,0,0,0,0
869,22,Nacer Chadli,MF,Belgium,0,0,0,0,0,0,0
78,9,Romelu Lukaku,FW,Belgium,4,2,175,1,0,0,0
