nombre_jugador,seleccion_autor,seleccion_beneficiada,minuto,fecha,instancia
Marcelo,Brazil,Croatia,11,12-06-2014,Group Stage
Sead Kolašinac,Bosnia & Herzegovina,Argentina,3,15-06-2014,Group Stage
Noel Valladares,Honduras,France,48,15-06-2014,Group Stage
John Boye,Ghana,Portugal,31,26-06-2014,Group Stage
Joseph Yobo,Nigeria,France,90+2,30-06-2014,Round of 16
