team_id,team_name,group,coach
1,Brazil,A,Luiz Felipe Scolari
2,Croatia,A,Niko Kovač
3,Mexico,A,Miguel Herrera
4,Cameroon,A,Volker Finke
5,Spain,B,Vicente del Bosque
6,Netherlands,B,Louis van Gaal
7,Chile,B,Jorge Sampaoli
8,Australia,B,Ange Postecoglou
9,Colombia,C,José Pékerman
10,Greece,C,Fernando Santos
11,Ivory Coast,C,Sabri Lamouchi
12,Japan,C,Alberto Zaccheroni
13,Uruguay,D,Óscar Tabárez
14,Costa Rica,D,Jorge Luis Pinto
15,England,D,Roy Hodgson
16,Italy,D,Cesare Prandelli
17,Switzerland,E,Ottmar Hitzfeld
18,Ecuador,E,Reinaldo Rueda
19,France,E,Didier Deschamps
20,Honduras,E,Luis Fernando Suárez
21,Argentina,F,Alejandro Sabella
22,Bosnia and Herzegovina,F,Safet Sušić
23,Iran,F,Carlos Queiroz
24,Nigeria,F,Stephen Keshi
25,Germany,G,Joachim Löw
26,Portugal,G,Paulo Bento
27,Ghana,G,James Kwesi Appiah
28,United States,G,Jürgen Klinsmann
29,Belgium,H,Marc Wilmots
30,Algeria,H,Vahid Halilhodžić
31,Russia,H,Fabio Capello
32,South Korea,H,Hong Myung-bo
