player_id,world_cup_year,team,club,country_club
100,2022,Brazil,Manchester United,England
101,2022,Brazil,Barcelona,Spain
102,2022,Brazil,Real Madrid,Spain
103,2022,Brazil,Arsenal,England
104,2022,Brazil,Flamengo,Brazil
105,2022,Cameroon,Internazionale,Italy
106,2022,Cameroon,Abha,Saudi Arabia
107,2022,Cameroon,Marseille,France
108,2022,Cameroon,Udinese,Italy
109,2022,Cameroon,Al-Tai,Saudi Arabia
110,2022,Cameroon,Philadelphia Union,USA
111,2022,Cameroon,Nantes,France
112,2022,Cameroon,Seattle Sounders,USA
113,2022,Cameroon,Rennes,France
114,2010,Cameroon,Monaco,France
114,2022,Cameroon,Aris,Greece
115,2022,Cameroon,Swansea City,Wales
116,2022,Cameroon,Hannover,Germany
117,2022,Cameroon,Olympiacos,Greece
118,2022,Cameroon,Mechelen,Belgium
119,2022,Cameroon,Napoli,Italy
120,2022,Cameroon,San Diego Loyal SC,USA
121,2022,Cameroon,Verona,Italy
122,2022,Cameroon,Dynamo Moscow,Russia
123,2022,Cameroon,Shanghai Shenhua,China
124,2022,Cameroon,Brentford,England
125,2022,Cameroon,Besiktas,Turkey
126,2022,Cameroon,Young Boys,Switzerland
127,2010,Cameroon,Coton Sport de Garoua,Cameroon
127,2014,Cameroon,Lorient,France
127,2022,Cameroon,Al-Nassr,Saudi Arabia
128,2022,Cameroon,Lyon,France
129,2010,Cameroon,1. FC Nurnberg,Germany
129,2014,Cameroon,Mainz 05,Germany
129,2022,Cameroon,Bayern Munich,Germany
130,2022,Cameroon,Coton Sport de Garoua,Cameroon
131,2022,Canada,CF Montreal,Canada
132,2022,Canada,Red Star Belgrade,Serbia
133,2022,Canada,Minnesota United,USA
134,2022,Canada,Celtic,Scotland
135,2022,Canada,Hatayspor,Turkey
136,2022,Canada,Montreal Impact,Canada
137,2022,Canada,GD Chaves,Portugal
138,2022,Canada,Toronto,Canada
139,2022,Canada,Panaitolikos,Greece
140,2022,Canada,Montreal Impact,Canada
141,2022,Canada,Montreal Impact,Canada
142,2022,Canada,Porto,Portugal
143,2022,Canada,Besiktas,Turkey
144,2022,Canada,Toronto,Canada
145,2022,Canada,Toronto,Canada
146,2022,Canada,St. Johnstone,Scotland
147,2022,Canada,KMSK Deinze,Belgium
148,2022,Canada,Watford,England
149,2022,Canada,Vancouver Whitecaps,Canada
150,2022,Canada,Reading,England
151,2022,Canada,Club Brugge,Belgium
152,2022,Canada,Club Brugge,Belgium
153,2022,Canada,Bayern Munich,Germany
154,2022,Canada,Lille,France
155,2022,Canada,Basel,Switzerland
156,2022,Canada,Troyes,France
157,2014,Costa Rica,Levante,Spain
157,2018,Costa Rica,Real Madrid,Spain
157,2022,Costa Rica,PSG,France
158,2022,Costa Rica,Herediano,Costa Rica
159,2022,Costa Rica,Lugo,Spain
160,2018,Costa Rica,Sunderland,England
160,2022,Costa Rica,Real Salt Lake,USA
161,2014,Costa Rica,Club Brugge,Belgium
161,2018,Costa Rica,Espanyol,Spain
161,2022,Costa Rica,Al-Wehda,Saudi Arabia
162,2018,Costa Rica,Vancouver Whitecaps,Canada
162,2022,Costa Rica,Saprissa,Costa Rica
163,2022,Costa Rica,Cincinnati,USA
164,2022,Costa Rica,Herediano,Costa Rica
165,2022,Costa Rica,Millonarios,Colombia
166,2022,Costa Rica,San Carlos,Costa Rica
167,2018,Costa Rica,Minnesota United,USA
167,2022,Costa Rica,Konyaspor,Turkey
168,2014,Costa Rica,AIK,Sweden
168,2018,Costa Rica,Deportivo La Coruña,Spain
168,2022,Costa Rica,Alajuelense,Costa Rica
169,2014,Costa Rica,PSV,Netherlands
169,2018,Costa Rica,Sporting CP,Portugal
169,2022,Costa Rica,Alajuelense,Costa Rica
170,2014,Costa Rica,Saprissa,Costa Rica
170,2018,Costa Rica,Lausanne Sport,Switzerland
170,2022,Costa Rica,Herediano,Costa Rica
171,2022,Costa Rica,Herediano,Costa Rica
172,2022,Costa Rica,Sunderland,England
173,2022,Costa Rica,Colorado Rapids,USA
174,2022,Costa Rica,Saprissa,Costa Rica
175,2022,Costa Rica,Municipal Grecia,Costa Rica
176,2022,Costa Rica,Nottingham Forest,England
177,2022,Costa Rica,Herediano,Costa Rica
178,2022,Costa Rica,Puntarenas,Costa Rica
179,2022,Costa Rica,Saprissa,Costa Rica
180,2014,Costa Rica,Olympiacos,Greece
180,2018,Costa Rica,Real Betis,Spain
180,2022,Costa Rica,Leon,Mexico
