player_id,dorsal,player_name,birth_date,position,nationality
582,3,Abdullah Madu,15-07-1993,DF,Saudi Arabia
583,18,Nawaf Alabid,26-01-1990,MF,Saudi Arabia
584,7,Salman Al-Faraj,01-08-1989,MF,Saudi Arabia
585,10,Salem Al-Dawsari,19-08-1991,MF,Saudi Arabia
586,14,Abdullah Otayf,03-08-1992,MF,Saudi Arabia
587,23,Mohamed Kanno,22-09-1994,MF,Saudi Arabia
588,8,Abdulellah Al-Malki,11-10-1994,MF,Saudi Arabia
589,16,Sami Al-Najei,07-02-1997,MF,Saudi Arabia
590,15,Ali Al-Hassan,04-03-1997,MF,Saudi Arabia
591,24,Nasser Al-Dawsari,19-12-1998,MF,Saudi Arabia
592,20,Abdulrahman Al-Aboud,01-06-1995,MF,Saudi Arabia
593,26,Riyadh Sharahili,28-04-1993,MF,Saudi Arabia
594,19,Hattan Bahebri,16-07-1992,FW,Saudi Arabia
595,9,Firas Al-Buraikan,14-05-2000,FW,Saudi Arabia
596,11,Saleh Al-Shehri,01-11-1993,FW,Saudi Arabia
597,25,Haitham Asiri,25-03-2001,FW,Saudi Arabia
598,16,Edouard Mendy,01-03-1992,GK,Senegal
599,23,Alfred Gomis,05-09-1993,GK,Senegal
600,1,Seny Dieng,23-11-1994,GK,Senegal
601,2,Formose Mendy,02-01-2001,DF,Senegal
602,3,Kalidou Koulibaly,20-06-1991,DF,Senegal
603,4,Papa Abou Cisse,14-09-1995,DF,Senegal
604,8,Cheikhou Kouyat ,21-12-1989,DF,Senegal
605,22,Abdou Diallo,04-05-1996,DF,Senegal
606,12,Fode Ballo-Toure,03-01-1997,DF,Senegal
607,14,Ismail Jakobs,17-08-1999,DF,Senegal
608,21,Youssouf Sabaly,05-03-1993,DF,Senegal
609,10,Moussa Ndiaye,18-06-2002,DF,Senegal
610,5,Idrissa Gueye,26-09-1989,MF,Senegal
611,26,Papa Gueye,24-01-1999,MF,Senegal
612,17,Pape Matar Sarr,14-09-2002,MF,Senegal
613,6,Nampalys Mendy,23-06-1992,MF,Senegal
614,15,Krepin Diatta,25-02-1999,MF,Senegal
615,11,Pathe Ciss,16-03-1994,MF,Senegal
616,24,Moustapha Name,05-05-1995,MF,Senegal
617,25,Loum Ndiaye,30-12-1996,MF,Senegal
618,9,Boulaye Dia,16-11-1996,FW,Senegal
619,18,Ismalia Sarr,25-02-1998,FW,Senegal
620,20,Bamba Dieng,23-03-2000,FW,Senegal
621,13,Iliman Ndiaye,06-03-2000,FW,Senegal
622,7,Nicolas Jackson,20-06-2001,FW,Senegal
623,19,Famara Diedhiou,15-12-1992,FW,Senegal
624,1,Marko Dmitrovic,24-01-1992,GK,Serbia
625,23,Vanja Milinkovic-Savic,20-02-1997,GK,Serbia
626,12,Predrag Rajkovi?,31-10-1995,GK,Serbia
627,13,Stefan Mitrovic,22-05-1990,DF,Serbia
628,25,Filip Mladenovic,15-08-1991,DF,Serbia
629,2,Strahinja Pavlovic,24-05-2001,DF,Serbia
630,5,Milos Veljkovic,26-09-1995,DF,Serbia
631,3,Strahinja Erakovic,22-01-2001,DF,Serbia
632,15,Srdan Babic,22-04-1996,DF,Serbia
633,4,Nikola Milenkovic,12-10-1997,DF,Serbia
634,8,Nemanja Gudelj,16-11-1991,MF,Serbia
635,17,Filip Kostic,01-11-1992,MF,Serbia
636,6,Nemanja Maksimovic,26-01-1995,MF,Serbia
637,20,Sergej Milinkovic-Savic,27-02-1995,MF,Serbia
638,16,Sasa Lukic,13-08-1996,MF,Serbia
639,14,Andrija Zivkovic,11-07-1996,MF,Serbia
640,19,Uros Racic,17-03-1998,MF,Serbia
641,24,Ivan Ilic,17-03-2001,MF,Serbia
642,22,Darko Lazovic,15-09-1990,MF,Serbia
643,26,Marko Grujic,13-04-1996,MF,Serbia
644,11,Luka Jovi?,23-12-1997,FW,Serbia
645,9,Aleksandr Mitrovic,16-09-1994,FW,Serbia
646,18,Dusan Vlahovic,28-01-2000,FW,Serbia
647,7,Nemanja Radonjic,15-02-1996,FW,Serbia
648,21,Filip Duricic,30-01-1992,FW,Serbia
649,10,Dusan Tadic,20-11-1988,FW,Serbia
650,1,Kim Seung-gyu,30-09-1990,GK,South Korea
651,21,Jo Hyeon-woon,25-09-1991,GK,South Korea
652,12,Song Bum-keun,15-10-1997,GK,South Korea
653,4,Kim Min-jae,15-11-1996,DF,South Korea
654,3,Kim Jin-su,13-06-1992,DF,South Korea
655,14,Hong Chul,17-09-1990,DF,South Korea
656,15,Kim Moon-hwan,01-08-1995,DF,South Korea
657,2,Yoon Jong-gyu,20-03-1998,DF,South Korea
658,19,Kim Young-gwon,27-02-1990,DF,South Korea
659,23,Kim Tae-hwan,24-07-1989,DF,South Korea
660,20,Kwon Kyung-won,31-01-1992,DF,South Korea
661,24,Cho Yu-min,17-11-1996,DF,South Korea
662,5,Jung Woo-young,14-12-1989,MF,South Korea
663,17,Na Sang-ho,12-08-1996,MF,South Korea
664,8,Paik Seung-ho,17-03-1997,MF,South Korea
665,13,Son Jun-ho,12-05-1992,MF,South Korea
666,26,Song Min-kyu,12-09-1999,MF,South Korea
667,22,Kwon Chang-hoon,30-06-1994,MF,South Korea
668,10,Lee Jae-sung,10-08-1992,MF,South Korea
669,6,Hwang In-beom,20-09-1996,MF,South Korea
670,18,Lee Kang-in,19-02-2001,MF,South Korea
671,7,Son Heung-min,08-07-1992,FW,South Korea
672,11,Hwang Hee-chan,26-01-1996,FW,South Korea
673,25,Jeong Woo-yeong,20-09-1999,FW,South Korea
674,16,Hwang Ui-jo,28-08-1992,FW,South Korea
675,9,Cho Gue-sung,26-01-1998,FW,South Korea
676,1,Robert Sanchez,18-11-1997,GK,Spain
677,13,David Raya,15-09-1995,GK,Spain
678,23,Unai Simon,11-06-1997,GK,Spain
679,2,Cesar Azpilicueta,28-08-1989,DF,Spain
680,18,Jordi Alba,21-03-1989,DF,Spain
681,15,Hugo Guillamon,31-01-2000,DF,Spain
682,4,Pau Torrres,17-01-1997,DF,Spain
683,3,Eric Garcia,09-01-2001,DF,Spain
684,14,Alejandro Balde,18-10-2003,DF,Spain
685,20,Dani Carvajal,11-01-1992,DF,Spain
686,24,Aymeric Laporte,27-05-1994,DF,Spain
687,5,Sergio Busquets,16-07-1988,MF,Spain
688,6,Marcos Llorente,30-01-1995,MF,Spain
689,26,Pedri,25-11-2002,MF,Spain
690,16,Rodri,22-06-1996,MF,Spain
691,8,Koke,08-01-1992,MF,Spain
692,9,Gavi,05-08-2004,MF,Spain
693,19,Carlos Soler,02-01-1997,MF,Spain
694,7,Alvaro Morata,23-10-1992,FW,Spain
695,17,Yeremy Pino,20-10-2002,FW,Spain
696,11,Ferran Torres,29-02-2000,FW,Spain
697,10,Marco Asensio,21-01-1996,FW,Spain
698,22,Pablo Sarabia,11-05-1992,FW,Spain
699,21,Dani Olmo,07-05-1998,FW,Spain
700,12,Nico Williams,12-07-2002,FW,Spain
701,25,Ansu Fati,31-10-2002,FW,Spain
702,1,Yann Sommer,17-12-1988,GK,Switzerland
703,12,Jonas Omlin,10-01-1994,GK,Switzerland
704,21,Gregor Kobel,06-12-1997,GK,Switzerland
705,24,Philipp Kohn,02-04-1998,GK,Switzerland
706,3,Silvan Widmer,05-03-1993,DF,Switzerland
707,13,Ricardo Rodriguez,25-08-1992,DF,Switzerland
708,22,Fabian Schar,20-12-1991,DF,Switzerland
709,5,Manuel Akanji,19-07-1995,DF,Switzerland
710,4,Nico Elvedi,30-09-1996,DF,Switzerland
711,18,Eray Comert,04-02-1998,DF,Switzerland
712,23,Xherdan Shaqiri,10-10-1991,MF,Switzerland
713,10,Granit Xhaka,27-09-1992,MF,Switzerland
714,8,Remo Freuler,15-04-1992,MF,Switzerland
715,6,Denis Zakaria,20-11-1996,MF,Switzerland
716,15,Djibril Sow,06-02-1997,MF,Switzerland
717,11,Renato Steffen,03-11-1991,MF,Switzerland
718,2,Edimilson Fernandes,15-04-1996,MF,Switzerland
719,20,Fabian Frei,08-01-1989,MF,Switzerland
720,14,Michel Aebischer,06-01-1997,MF,Switzerland
721,26,Ardon Jashari,30-06-2002,MF,Switzerland
722,25,Fabian Rieder,16-02-2002,MF,Switzerland
723,9,Haris Seferovic,22-02-1992,FW,Switzerland
724,7,Breel Embolo,14-02-1997,FW,Switzerland
725,17,Ruben Vargas,05-08-1998,FW,Switzerland
726,16,Christian Fassnacht,11-11-1993,FW,Switzerland
727,19,Noah Okafor,24-05-2000,FW,Switzerland
728,16,Aymen Dahmen,27-01-1997,GK,Tunisia
729,26,Mouez Hassen,05-03-1995,GK,Tunisia
730,1,Balbouli,14-09-1984,GK,Tunisia
731,22,Bechir Ben Sa d,29-11-1994,GK,Tunisia
732,20,Mohamed Drager,25-06-1996,DF,Tunisia
733,21,Wajdi Kechrida,05-11-1995,DF,Tunisia
734,2,Bilel Ifa,09-03-1990,DF,Tunisia
735,3,Montassar Talbi,26-05-1998,DF,Tunisia
736,6,Dylan Bronn,19-06-1995,DF,Tunisia
737,4,Yassine Meriah,02-07-1993,DF,Tunisia
738,5,Nader Ghandri,18-02-1995,DF,Tunisia
739,12,Ali Maaloul,01-01-1990,DF,Tunisia
740,24,Ali Abdi,20-12-1993,DF,Tunisia
741,17,Ellyes Skhiri,10-05-1995,MF,Tunisia
742,14,Aissa Laidouni,13-12-1996,MF,Tunisia
743,13,Ferjani Sassi,18-03-1992,MF,Tunisia
744,18,Ghailene Chaalali,28-02-1994,MF,Tunisia
745,8,Hannibal Mejbri,21-01-2003,MF,Tunisia
746,15,Mohamed Ali Ben Romdhane,06-09-1999,MF,Tunisia
747,19,Seifeddine Jaziri,12-02-1993,FW,Tunisia
748,23,Naim Sliti,27-07-1992,FW,Tunisia
749,11,Taha Yassine Khenissi,06-01-1992,FW,Tunisia
750,25,Anis Ben Slimane,16-03-2001,FW,Tunisia
751,9,Issam Jebali,25-12-1991,FW,Tunisia
752,10,Wahbi Khazri,08-02-1991,FW,Tunisia
753,7,Youssef Msakni,28-10-1990,FW,Tunisia
754,1,Fernando Muslera,16-06-1986,GK,Uruguay
755,23,Sergio Rochet,23-03-1993,GK,Uruguay
756,12,Sebastian Sosa,19-08-1986,GK,Uruguay
757,4,Ronald Araujo,07-03-1999,DF,Uruguay
758,22,Martin Caceres,07-04-1987,DF,Uruguay
759,19,Sebastian Coates,07-10-1990,DF,Uruguay
760,2,Jose Maria Gimenez,20-01-1995,DF,Uruguay
761,3,Diego Godin,16-02-1986,DF,Uruguay
762,16,Mathias Olivera,31-10-1997,DF,Uruguay
763,26,Jose Luis Rodriguez,14-03-1997,DF,Uruguay
764,17,Matias Vina,09-11-1997,DF,Uruguay
765,13,Guillermo Varela,24-03-1993,DF,Uruguay
766,5,Matias Vecino,24-08-1991,MF,Uruguay
767,7,Nicol s de la Cruz,01-06-1997,MF,Uruguay
768,6,Rodrigo Bentancur,25-06-1997,MF,Uruguay
769,15,Federico Valverde,22-07-1998,MF,Uruguay
770,10,Giorgian de Arrascaeta,01-06-1994,MF,Uruguay
771,14,Lucas Torreira,11-02-1996,MF,Uruguay
772,20,Facundo Torres,13-04-2000,MF,Uruguay
773,25,Manuel Ugarte,11-04-2001,MF,Uruguay
774,9,Luis Suarez,24-01-1987,FW,Uruguay
775,21,Edinson Cavani,14-02-1987,FW,Uruguay
776,18,Maxi Gomez,14-08-1996,FW,Uruguay
777,11,Darwin Nunez,24-06-1999,FW,Uruguay
778,8,Facundo Pellistri,20-12-2001,FW,Uruguay
779,24,Agustin Canobbio,01-10-1998,FW,Uruguay
780,1,Matt Turner,24-06-1994,GK,USA
781,12,Ethan Horvath,09-06-1995,GK,USA
782,25,Sean Johnson,31-05-1989,GK,USA
783,20,Cameron Carter-Vickers,31-12-1997,DF,USA
784,2,Sergi o Dest,03-11-2000,DF,USA
785,15,Aaron Long,12-10-2000,DF,USA
786,18,Shaq Moore,02-11-1996,DF,USA
787,13,Tim Ream,05-10-1987,DF,USA
788,5,Antonee Robinson,08-08-1997,DF,USA
789,26,Joe Scally,31-12-2002,DF,USA
790,22,DeAndre Yedlin,09-07-1993,DF,USA
791,3,Walker Zimmerman,19-05-1993,DF,USA
792,11,Brenden Aaronson,22-10-2000,MF,USA
793,23,Kellyn Acosta,24-07-1995,MF,USA
794,4,Tyler Adams,14-02-1999,MF,USA
795,14,Luca de la Torre,23-05-1998,MF,USA
796,8,Weston McKennie,28-08-1998,MF,USA
797,6,Yunus Musah,29-11-2002,MF,USA
798,17,Cristian Roldan,03-06-1995,MF,USA
799,24,Josh Sargent,20-02-2000,FW,USA
800,9,Jes s Ferreira,24-12-2000,FW,USA
801,16,Jordan Morris,26-10-1994,FW,USA
802,10,Christian Pulisic,18-09-1998,FW,USA
803,7,Gio Reyna,13-11-2002,FW,USA
804,21,Tim Weah,22-02-2000,FW,USA
805,19,Haji Wright,27-03-1998,FW,USA
806,12,Danny Ward,22-06-1993,GK,Wales
807,1,Wayne Hennessey,24-01-1987,GK,Wales
808,21,Adam Davies,17-07-1992,GK,Wales
809,4,Ben Davies,24-04-1993,DF,Wales
810,24,Ben Cabango,30-05-2000,DF,Wales
811,6,Joe Rodon,22-10-1997,DF,Wales
812,5,Chris Mepham,05-11-1997,DF,Wales
813,15,Ethan Ampadu,14-09-2000,DF,Wales
814,2,Chris Gunter,21-07-1989,DF,Wales
815,3,Neco Williams,13-04-2001,DF,Wales
816,14,Connor Roberts,23-09-1995,DF,Wales
817,17,Tom Lockyer,03-12-1994,DF,Wales
818,22,Sorba Thomas,25-01-1999,MF,Wales
819,7,Joe Allen,14-03-2000,MF,Wales
820,26,Matthew Smith,22-11-1999,MF,Wales
821,23,Dylan Levitt,17-11-2000,MF,Wales
822,8,Harry Wilson,22-03-1997,MF,Wales
823,16,Joe Morrell,03-01-1997,MF,Wales
824,18,Jonny Williams,09-10-1993,MF,Wales
825,10,Aaron Ramsey,26-12-1990,MF,Wales
826,25,Rubin Colwill,27-04-2000,FW,Wales
827,11,Gareth Bale,16-07-1989,FW,Wales
828,13,Kieffer Moore,08-08-1992,FW,Wales
829,19,Mark Harris,29-12-1998,FW,Wales
830,9,Brennan Johnson,23-05-2001,FW,Wales
831,20,Dan James,10-11-1997,FW,Wales
