stadium_id,stadium_name,city,capacity
1,Maracana,Rio de Janeiro,200000
2,Pacaembu,Sao Paulo,60000
3,Independencia,Belo Horizonte,30000
4,Estadio dos Eucaliptos,Porto Alegre,20000
5,Ilha do Retiro,Recife,20000
6,Durival de Britto,Curitiba,10000
