group,team,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,points
1,Brazil,3,2,1,0,8,2,6,5
1,Yugoslavia,3,2,0,1,7,3,4,4
1,Switzerland,3,1,1,1,4,6,-2,3
1,Mexico,3,0,0,3,2,10,-8,0
2,Spain,3,3,0,0,6,1,5,6
2,England,3,1,0,2,2,2,0,2
2,Chile,3,1,0,2,5,6,-1,2
2,United States,3,1,0,2,4,8,-4,2
3,Sweden,2,1,1,0,5,4,1,3
3,Italy,2,1,0,1,4,3,1,2
3,Paraguay,2,0,1,1,2,4,-2,1
4,Uruguay,1,1,0,0,8,0,8,2
4,Bolivia,1,0,0,1,0,8,-8,0
FF,Uruguay,3,2,1,0,7,5,2,5
FF,Brazil,3,2,0,1,14,4,10,4
FF,Sweden,3,1,0,2,6,11,-5,2
FF,Spain,3,0,1,2,4,11,-7,1
