team_id,team_name,group,coach
1,Italy,A,Enzo Bearzot
2,Poland,A,Antoni Piechniczek
3,Peru,A,Tim
4,Cameroon,A,Jean Vincent
5,West Germany,B,Jupp Derwall
6,Austria,B,Felix Latzke and Georg Schmidt
7,Chile,B,Luis Santibáñez
8,Algeria,B,Mahieddine Khalef and Rachid Mekhloufi
9,Argentina,C,César Luis Menotti
10,Hungary,C,Kálmán Mészöly
11,Belgium,C,Guy Thys
12,El Salvador,C,Mauricio Rodríguez
13,England,D,Ron Greenwood
14,Czechoslovaquia,D,Jozef Vengloš
15,France,D,Michel Hidalgo
16,Kuwait,D,Carlos Alberto Parreira
17,Spain,E,José Santamaría
18,Yugoslavia,E,Miljan Miljani?
19,Northern Ireland,E,Billy Bingham
20,Honduras,E,José de la Paz Herrera
21,Brazil,F,Telê Santana
22,Soviet Union,F,Konstantin Beskov
23,Scotland,F,Jock Stein
24,New Zealand,F,John Adshead
