stadium_id,stadium_name,city,capacity
1,Stade Olympique de Colombes,Colombes,60000
2,Stade Velodrome,Marseille,48000
3,Parc des Princes,Paris,40000
4,Parc Lescure,Bordeaux,34694
5,Stade de la Meinau,Strasbourg,30000
6,Stade Municipal,Le Havre,22000
7,Velodrome Municipal,Reims,21684
8,Stade Chapou,Toulouse,15000
9,Stade Victor Boucquey,Lille,15000
10,Stade du Fort Carre,Antibes,7000
