nombre_jugador,seleccion_autor,seleccion_beneficiada,minuto,fecha,instancia
Ernst Lortscher,Switzerland,Germany,22,09-06-1938,Round of 16
Sven Jacobson,Sweden,Hungary,19,16-06-1938,Semi Final
