stadium_id,stadium_name,city,capacity
1,San Siro,Milan,55000
2,Littoriale,Bologna,50100
3,Stadio Nationale PNF,Rome,47300
4,Giovanni Berta,Florence,47290
5,Giorgio Ascarelli,Napoles,40000
6,Luigi Ferraris,Genoa,36703
7,Benito Mussolini,Turin,28140
8,Littorio,Trieste,8000
